keyword_text,base_esi,is_red_flag,resource_estimate,risk_tier,high_acuity_pct,sample_size,esi_1_count,esi_2_count,esi_3_count,esi_4_count,esi_5_count,mode_esi_raw
left foot pain,3,False,2,mode_based,2.91,103,1,2,54,46,0,3
r arm injury,3,False,2,mode_based,14.56,103,1,14,71,17,0,3
r numbness,2,True,3,high,73.53,102,16,59,27,0,0,2
gunshot wound,2,True,3,high,90.2,102,63,29,10,0,0,1
r ankle swelling,3,False,2,mode_based,5.88,102,0,6,87,9,0,3
right shoulder pain,3,False,2,mode_based,11.88,101,1,11,75,13,1,3
c2 fracture,2,True,3,high,92.0,100,7,85,8,0,0,2
foreign body,3,False,2,moderate,34.0,100,0,34,46,19,1,3
r back pain,3,False,2,mode_based,12.0,100,0,12,75,13,0,3
neutropenia,2,True,3,high,85.0,100,2,83,15,0,0,2
b flank pain,3,False,2,mode_based,14.14,99,1,13,85,0,0,3
abcess,3,False,2,mode_based,6.12,98,0,6,83,9,0,3
chest pressure,2,True,3,high,73.47,98,3,69,26,0,0,2
palps,2,True,3,high,60.2,98,12,47,39,0,0,2
sepsis,2,True,3,high,96.94,98,59,36,3,0,0,1
right hip pain,3,False,2,mode_based,6.19,97,1,5,82,9,0,3
cholecystitis,3,False,2,moderate,34.38,96,4,29,63,0,0,3
acute renal failure,2,True,3,high,75.0,96,4,68,24,0,0,2
l facial pain,3,False,2,mode_based,12.63,95,0,12,72,10,1,3
facial laceration,3,False,2,mode_based,16.84,95,1,15,58,21,0,3
l ankle swelling,3,False,2,mode_based,4.21,95,0,4,72,19,0,3
hand numbness,2,True,3,high,48.94,94,10,36,48,0,0,3
afib,2,True,3,high,81.91,94,20,57,17,0,0,2
bowel obstruction,2,True,3,high,47.87,94,2,43,49,0,0,3
leg laceration,3,False,2,mode_based,9.68,93,1,8,54,29,1,3
left ankle pain,3,False,2,mode_based,2.15,93,0,2,51,40,0,3
scrotal pain,3,False,2,moderate,33.7,92,2,29,58,3,0,3
head pain,3,False,2,moderate,27.47,91,3,22,61,5,0,3
unwitnessed fall,2,True,3,high,67.03,91,11,50,30,0,0,2
r eye redness,4,False,1,mode_based,3.3,91,0,3,40,44,4,4
chest pain shortness breath,2,True,3,high,78.02,91,9,62,19,0,1,2
abdominal pain nausea vomiting,3,False,2,mode_based,24.44,90,5,17,68,0,0,3
r thumb pain,3,False,2,mode_based,1.12,89,0,1,47,39,2,3
groin pain,3,False,2,mode_based,15.73,89,1,13,70,5,0,3
left hip pain,3,False,2,mode_based,6.74,89,1,5,77,6,0,3
r leg cellulitis,3,False,2,mode_based,17.05,88,1,14,71,2,0,3
ankle injury,3,False,2,mode_based,7.95,88,1,6,49,31,1,3
b knee pain,3,False,2,mode_based,5.75,87,1,4,57,24,1,3
l eye redness,3,False,2,mode_based,4.6,87,0,4,51,32,0,3
r finger laceration,4,False,1,mode_based,4.65,86,0,4,34,48,0,4
blurred vision,2,True,3,high,60.47,86,21,31,34,0,0,3
s p mechanical fall,3,False,2,mode_based,17.44,86,1,14,57,14,0,3
l toe pain,3,False,2,mode_based,3.53,85,0,3,45,37,0,3
rib fracture,2,True,3,high,82.35,85,9,61,15,0,0,2
r facial pain,3,False,2,mode_based,17.65,85,2,13,62,8,0,3
ankle swelling,3,False,2,mode_based,15.66,83,1,12,60,10,0,3
r hand numbness,2,True,3,high,58.54,82,14,34,32,2,0,2
r leg weakness,2,True,3,high,54.88,82,9,36,36,1,0,2
l leg cellulitis,3,False,2,mode_based,17.28,81,0,14,66,1,0,3
thrombocytopenia,2,True,3,high,65.43,81,1,52,28,0,0,2
r finger pain,3,False,2,mode_based,6.17,81,0,5,55,21,0,3
t spine fracture,2,True,3,high,51.85,81,4,38,39,0,0,3
diplopia,2,True,3,high,75.31,81,3,58,20,0,0,2
allergic rxn,2,True,3,high,72.84,81,17,42,20,2,0,2
neuro deficit,2,True,3,high,91.25,80,27,46,7,0,0,2
ascites,2,True,3,high,53.75,80,0,43,37,0,0,2
gu,3,False,2,mode_based,13.75,80,1,10,48,21,0,3
svt,2,True,3,high,94.94,79,31,44,4,0,0,2
tachypnea,2,True,3,high,98.72,78,46,31,0,1,0,1
bat exposure,4,False,1,mode_based,0.0,78,0,0,21,51,6,4
foot swelling,3,False,2,mode_based,15.58,77,2,10,61,3,1,3
icd,2,True,3,high,96.1,77,14,60,2,1,0,2
joint pain,3,False,2,mode_based,5.26,76,0,4,68,4,0,3
hemodialysis,2,True,3,high,51.32,76,0,39,37,0,0,2
angioedema,2,True,3,high,96.05,76,31,42,3,0,0,2
staples removal,4,False,1,mode_based,0.0,75,0,0,9,46,20,4
wrist pain,3,False,2,mode_based,5.33,75,0,4,53,17,1,3
l finger pain,3,False,2,mode_based,4.0,75,0,3,39,32,1,3
peritonsillar abscess,2,True,3,high,48.65,74,0,36,38,0,0,3
right arm pain,3,False,2,mode_based,10.81,74,2,6,48,17,1,3
right ankle pain,3,False,2,mode_based,1.35,74,0,1,47,26,0,3
periumbilical pain,3,False,2,mode_based,12.33,73,2,7,64,0,0,3
bizarre behavior,2,True,3,high,79.17,72,4,53,14,1,0,2
pna,2,True,3,high,55.56,72,10,30,32,0,0,3
redness,3,False,2,mode_based,6.94,72,1,4,60,7,0,3
mci,2,True,3,high,56.94,72,4,37,28,3,0,2
decreased po intake,3,False,2,moderate,29.17,72,1,20,51,0,0,3
s p cardiac arrest,2,True,3,high,100.0,72,61,11,0,0,0,1
urosepsis,2,True,3,high,95.77,71,28,40,3,0,0,2
vaginal bleed,3,False,2,moderate,30.0,70,0,21,49,0,0,3
foot laceration,3,False,2,mode_based,4.29,70,0,3,38,28,1,3
medical device problem,3,False,2,mode_based,17.14,70,1,11,51,7,0,3
doe,2,True,3,high,70.0,70,3,46,21,0,0,2
l eye,3,False,2,moderate,28.57,70,1,19,33,17,0,3
gum bleeding,3,False,2,moderate,37.68,69,0,26,37,6,0,3
foot injury,3,False,2,mode_based,4.35,69,1,2,41,22,3,3
gyn,3,False,2,mode_based,8.7,69,0,6,44,19,0,3
nose pain,3,False,2,mode_based,4.41,68,0,3,39,25,1,3
l back pain,3,False,2,mode_based,16.18,68,1,10,45,12,0,3
left ankle injury,4,False,1,mode_based,5.97,67,0,4,20,43,0,4
tremors,3,False,2,moderate,28.36,67,5,14,48,0,0,3
l leg weakness,2,True,3,high,62.69,67,3,39,25,0,0,2
pulseless foot,2,True,3,high,97.01,67,21,44,2,0,0,2
anxiety situational crisis,3,False,2,moderate,32.84,67,1,21,43,2,0,3
low hct,2,True,3,high,83.33,66,4,51,11,0,0,2
calf pain,3,False,2,moderate,27.27,66,3,15,46,2,0,3
